oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people moving back,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,146186,,1157115,359000,359000,798115,0,359000,0,0,20940,20940,0,0,0,0,0,0,0,0,0,1,7034,Jan2023
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,74826,,950773,477000,477000,473773,0,477000,0,0,31895,31895,0,0,0,60,0,0,0,0,0,2,6347,Jan2023
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,67451,,887392,238000,238000,649392,0,238000,0,0,8095,8095,0,0,0,0,0,0,,0,0,0,2057,Jan2023
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,367089,,3093176,1100000,1100000,1993176,0,836000,264000,0,31910,31910,0,0,0,69,0,51,0,0,57,1,12749,Jan2023
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,,4046487,2600000,2600000,1446487,0,0,0,2600000,26500,11008,15196,296,499,1128,2,1883,,,59,31,6668,Jan2023
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,141484,,1349096,360000,360000,989096,0,360000,0,0,13933,13933,0,0,0,1,0,0,0,0,1,0,4353,Jan2023
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,456946,,2583325,1700000,1700000,883325,0,1479000,187000,34000,31435,30712,648,75,18,668,0,295,0,0,39,15,12890,Jan2023
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,1032,,1000166,239000,239000,761166,0,0,0,239000,26657,6615,18962,1080,5,360,5,60,0,0,114,34,6341,Jan2023
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,90513,,1225666,402000,402000,823666,0,402000,0,0,20628,20628,0,0,0,0,0,0,0,0,0,0,4896,Jan2023
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,94484,,897297,245000,245000,652297,0,245000,0,0,24578,24578,0,0,0,0,0,0,0,0,0,1,5703,Jan2023
Kyiv,UA80,1789300,969870,819430,232566,248470,481036,401501,236765,638266,225074,,2910994,1300000,1300000,1610994,0,1300000,0,0,834,834,0,0,0,3,0,1,0,0,4,0,5057,Jan2023
Kyivska,UA32,2910994,1568793,1342201,153069,163542,316611,253461,137057,390518,336814,,1789300,1100000,1100000,689300,0,1100000,0,0,28132,28132,0,0,0,1,0,0,0,0,3,4,8184,Jan2023
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,,2098324,1200000,1200000,898324,0,0,0,1200000,26688,329,26198,161,107,204,1,182,,,2,18,2862,Jan2023
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,247067,,2459763,605000,605000,1854763,0,605000,0,0,21824,21824,0,0,0,1,0,0,0,0,1,1,4482,Jan2023
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,115721,,1091106,552000,552000,539106,0,149040,402960,0,24016,23897,119,0,0,31,0,1,0,0,3,6,8477,Jan2023
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,139556,,2340332,636000,636000,1704332,0,114480,521520,0,33348,33348,0,0,0,2,0,0,0,0,2,4,7709,Jan2023
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,193733,,1344445,462000,462000,882445,0,462000,0,0,28723,28723,0,0,0,0,0,0,0,0,0,0,7490,Jan2023
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,58644,,1140724,321000,321000,819724,0,321000,0,0,20053,20053,0,0,0,0,0,0,0,0,0,1,5327,Jan2023
Sevastopol,UA85,393455,214172,179283,32884,34455,67339,64229,32884,97113,,,393455,,,393455,,,0,0,57,0,57,0,0,1,0,0,,,0,0,,Jan2023
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,69126,,1033580,628000,628000,405580,0,628000,0,0,23842,23842,0,0,1,197,0,2,0,0,37,1,10097,Jan2023
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,80771,,1018462,306000,306000,712462,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,0,3102,Jan2023
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,178572,,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,2,0,0,0,0,1,0,6912,Jan2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,50001,,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,1,3964,Jan2023
Zakarpatska,UA21,1502430,805537,696893,117513,124691,242204,141186,88706,229892,149786,,1241643,428000,428000,813643,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,3377,Jan2023
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,156134,,1637673,883000,883000,754673,0,0,0,883000,27180,6795,20385,0,37,525,3,149,0,0,65,27,12611,Jan2023
Zhytomyrska,,1179801,629467,550334,92406,98146,190552,179745,98703,278448,68952,,1179801,575000,575000,604801,0,575000,0,0,29839,29839,0,0,0,0,0,0,0,0,0,1,7276,Jan2023
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,136066,,1157115,359000,359000,798115,0,359000,0,0,20940,20940,0,0,0,0,0,0,1,6,0,2,6331,Feb2023
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,72342,,950773,477000,477000,473773,0,477000,0,0,31895,31895,0,0,0,62,0,6,489,735,5,9,5865,Feb2023
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,87937,,887392,238000,238000,649392,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,1,1828,Feb2023
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,372279,,3093176,1100000,1100000,1993176,0,836000,264000,0,31910,31910,0,0,1,70,0,6,157,530,43,5,11209,Feb2023
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,67002,,4046487,2600000,2600000,1446487,0,0,0,2600000,26500,10938,15303,259,505,1109,0,1286,2167,3263,58,46,6378,Feb2023
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,134452,,1349096,360000,360000,989096,0,360000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,1,4163,Feb2023
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,467154,,2583325,1700000,1700000,883325,0,1479000,187000,34000,31435,30704,653,78,49,569,0,171,1782,2607,36,40,11352,Feb2023
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,10961,,1000166,239000,239000,761166,0,0,0,239000,26657,6616,18935,1106,2,403,0,79,832,847,28,66,6115,Feb2023
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,85801,,1225666,402000,402000,823666,0,402000,0,0,20628,20628,0,0,0,3,0,2,0,0,2,4,4341,Feb2023
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,93504,,897297,245000,245000,652297,0,245000,0,0,24578,24578,0,0,0,1,0,0,6,13,2,1,4935,Feb2023
Kyiv,UA80,1789300,969870,819430,232566,248470,481036,401501,236765,638266,230689,,2910994,1300000,1300000,1610994,0,1300000,0,0,834,834,0,0,0,1,0,0,72,114,1,3,4158,Feb2023
Kyivska,UA32,2910994,1568793,1342201,153069,163542,316611,253461,137057,390518,334037,,1789300,1100000,1100000,689300,0,1100000,0,0,28132,28132,0,0,0,0,0,0,2290,734,0,16,6914,Feb2023
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,,2098324,1200000,1200000,898324,0,0,0,1200000,26688,329,26198,161,133,147,0,245,725,971,1,42,2848,Feb2023
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,243877,,2459763,605000,605000,1854763,0,605000,0,0,21824,21824,0,0,0,2,0,0,4,16,3,3,3914,Feb2023
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,117347,,1091106,552000,552000,539106,0,149040,402960,0,24016,23897,119,0,2,38,0,0,490,1281,2,11,7499,Feb2023
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,143213,,2340332,636000,636000,1704332,0,114480,521520,0,33348,33348,0,0,0,2,0,0,34,92,1,5,7962,Feb2023
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,193102,,1344445,462000,462000,882445,0,462000,0,0,28723,28723,0,0,0,1,0,0,24,119,1,2,6756,Feb2023
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,57650,,1140724,321000,321000,819724,0,321000,0,0,20053,20053,0,0,0,0,0,0,4,13,0,1,4846,Feb2023
Sevastopol,UA85,393455,214172,179283,32884,34455,67339,64229,32884,97113,,,393455,,,393455,,,0,0,57,0,57,0,0,0,0,0,,,1,0,,Feb2023
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,77229,,1033580,628000,628000,405580,0,628000,0,0,23842,23842,0,0,0,274,1,0,160,209,3,8,9050,Feb2023
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,78867,,1018462,306000,306000,712462,0,306000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,1,2746,Feb2023
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,167988,,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,0,0,0,24,204,0,1,6136,Feb2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,57742,,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,1,0,1,1,1,0,1,3710,Feb2023
Zakarpatska,UA21,1502430,805537,696893,117513,124691,242204,141186,88706,229892,145825,,1241643,428000,428000,813643,0,428000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,1,2918,Feb2023
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,166078,,1637673,883000,883000,754673,0,0,0,883000,27180,6642,20380,158,7,422,0,51,363,1010,3,27,11501,Feb2023
Zhytomyrska,,1179801,629467,550334,92406,98146,190552,179745,98703,278448,67562,,1179801,575000,575000,604801,0,575000,0,0,29839,29839,0,0,0,0,0,0,31,48,0,4,6527,Feb2023
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,135291,,1157115,359000,359000,798115,0,359000,0,0,20940,20940,0,0,0,0,0,0,1,6,0,0,5614,Mar2023
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,70901,,950773,477000,477000,473773,0,477000,0,0,31895,31895,0,0,0,73,0,0,489,735,0,2,5344,Mar2023
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,86824,,887392,238000,238000,649392,0,238000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,1701,Mar2023
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,376307,,3093176,1100000,1100000,1993176,0,836000,264000,0,31910,31910,0,0,2,58,0,6,157,530,30,1,10153,Mar2023
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,71250,,4046487,2600000,2600000,1446487,0,0,0,2600000,26500,10887,15356,257,726,1084,2,1368,2167,3263,73,34,6133,Mar2023
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,134174,,1349096,360000,360000,989096,0,360000,0,0,13933,13933,0,0,0,1,0,0,0,0,0,0,3885,Mar2023
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,475472,,2583325,1700000,1700000,883325,0,1479000,187000,34000,31435,30704,653,78,50,553,0,235,1782,2607,30,30,11055,Mar2023
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,10961,,1000166,239000,239000,761166,0,0,0,239000,26657,6616,18935,1106,8,487,2,187,832,847,20,61,5916,Mar2023
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,81571,,1225666,402000,402000,823666,0,402000,0,0,20628,20628,0,0,0,0,0,0,0,0,0,0,3625,Mar2023
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,92705,,897297,245000,245000,652297,0,245000,0,0,24578,24578,0,0,0,1,0,0,6,13,0,1,4219,Mar2023
Kyiv,UA80,1789300,969870,819430,232566,248470,481036,401501,236765,638266,236031,,2910994,1300000,1300000,1610994,0,1300000,0,0,834,834,0,0,0,4,0,0,72,114,1,2,3581,Mar2023
Kyivska,UA32,2910994,1568793,1342201,153069,163542,316611,253461,137057,390518,331662,,1789300,1100000,1100000,689300,0,1100000,0,0,28132,28132,0,0,0,2,0,9,2290,734,2,4,6293,Mar2023
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,,2098324,1200000,1200000,898324,0,0,0,1200000,26688,329,26198,161,160,130,0,262,725,971,0,47,2916,Mar2023
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,239652,,2459763,605000,605000,1854763,0,605000,0,0,21824,21824,0,0,0,2,0,5,4,16,0,1,3691,Mar2023
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,119487,,1091106,552000,552000,539106,0,149040,402960,0,24016,23897,119,0,0,33,0,6,490,1281,3,16,6789,Mar2023
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,145565,,2340332,636000,636000,1704332,0,114480,521520,0,33348,33348,0,0,0,7,0,0,34,92,4,6,6758,Mar2023
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,192104,,1344445,462000,462000,882445,0,462000,0,0,28723,28723,0,0,0,2,0,0,24,119,0,1,6203,Mar2023
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,55458,,1140724,321000,321000,819724,0,321000,0,0,20053,20053,0,0,0,0,0,0,4,13,0,0,4649,Mar2023
Sevastopol,UA85,393455,214172,179283,32884,34455,67339,64229,32884,97113,,,393455,,,393455,,,0,0,57,0,57,0,0,3,0,0,,,0,0,,Mar2023
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,77721,,1033580,628000,628000,405580,0,628000,0,0,23842,23842,0,0,0,278,0,4,160,209,18,6,8419,Mar2023
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,77674,,1018462,306000,306000,712462,0,306000,0,0,13833,13833,0,0,0,1,0,0,0,0,0,0,2361,Mar2023
Vinnytska,UA05,1018628,537725,480903,110508,117742,228250,238346,134465,372811,170181,,1502430,544000,544000,958430,0,544000,0,0,26491,26491,0,0,0,1,0,0,24,204,0,0,5363,Mar2023
Volynska,UA07,1241643,644559,597084,95205,101245,196450,129037,73972,203009,54516,,1018628,282000,282000,736628,0,282000,0,0,20149,20149,0,0,0,0,0,0,1,1,0,0,3399,Mar2023
